~id,~label,~from,~to,~fromLabels,~toLabels,dist:int
"29944","route","460","75","airport","airport",431
"29960","route","461","96","airport","airport",138
"29976","route","462","114","airport","airport",424
"29992","route","463","80","airport","airport",315
"30008","route","463","499","airport","airport",593
"30024","route","464","198","airport","airport",303
"30040","route","464","521","airport","airport",1053
"30056","route","467","328","airport","airport",485
"30071","route","468","433","airport","airport",412
"30087","route","469","113","airport","airport",1113
"30103","route","469","347","airport","airport",1150
"30119","route","469","793","airport","airport",511
"30135","route","470","503","airport","airport",283
"30151","route","471","168","airport","airport",708
"30167","route","473","60","airport","airport",825
"30183","route","473","97","airport","airport",763
"30199","route","473","179","airport","airport",370
"30215","route","473","302","airport","airport",652
"30231","route","473","492","airport","airport",1997
"30247","route","473","786","airport","airport",495
"30263","route","473","3277","airport","airport",1892
"30279","route","475","84","airport","airport",183
"30295","route","475","252","airport","airport",1601
"30311","route","475","504","airport","airport",2002
"30326","route","476","200","airport","airport",797
"30342","route","477","338","airport","airport",1167
"30358","route","478","251","airport","airport",1557
"30374","route","480","53","airport","airport",670
"30390","route","480","1946","airport","airport",131
"30406","route","481","113","airport","airport",1521
"30422","route","481","455","airport","airport",296
"30438","route","482","51","airport","airport",774
"30454","route","482","90","airport","airport",467
"30470","route","482","168","airport","airport",484
"30486","route","482","284","airport","airport",828
"30502","route","482","535","airport","airport",837
"30518","route","482","1421","airport","airport",462
