~id,~label,~from,~to,~fromLabels,~toLabels
"53343","contains","3635","460","continent","airport"
"53359","contains","3635","476","continent","airport"
"53375","contains","3639","492","continent","airport"
"53391","contains","3635","508","continent","airport"
"53407","contains","3635","524","continent","airport"
"53423","contains","3635","540","continent","airport"
"53439","contains","3639","556","continent","airport"
"53455","contains","3637","572","continent","airport"
"53471","contains","3638","588","continent","airport"
"53487","contains","3636","604","continent","airport"
"53503","contains","3637","620","continent","airport"
"53518","contains","3635","635","continent","airport"
"53534","contains","3637","651","continent","airport"
"53550","contains","3639","667","continent","airport"
"53566","contains","3639","683","continent","airport"
"53582","contains","3639","699","continent","airport"
"53598","contains","3639","715","continent","airport"
"53614","contains","3639","731","continent","airport"
"53630","contains","3639","747","continent","airport"
"53646","contains","3639","763","continent","airport"
"53662","contains","3639","779","continent","airport"
"53678","contains","3637","795","continent","airport"
"53694","contains","3639","811","continent","airport"
"53710","contains","3636","827","continent","airport"
"53726","contains","3636","843","continent","airport"
"53742","contains","3635","859","continent","airport"
"53758","contains","3637","875","continent","airport"
"53773","contains","3637","890","continent","airport"
"53789","contains","3639","906","continent","airport"
"53805","contains","3637","922","continent","airport"
"53821","contains","3637","938","continent","airport"
"53837","contains","3637","954","continent","airport"
"53853","contains","3637","970","continent","airport"
"53869","contains","3640","986","continent","airport"
"53885","contains","3640","1002","continent","airport"
"53901","contains","3640","1018","continent","airport"
"53917","contains","3639","1034","continent","airport"
"53933","contains","3637","1050","continent","airport"
"53949","contains","3637","1066","continent","airport"
